route_id,route_short_name,route_long_name,route_type,route_text_color,route_color,agency_id
PRV218,PRV218,PATRADEVI - HARMAL,3,,,ktcl-goa-in
PNJ108S,PNJ108S,PANAJI MKT - PONDA,3,,,ktcl-goa-in
PNJ61,PNJ61,PANAJI MKT - SHIRSHIRE via PONDA,3,,,ktcl-goa-in
PNJ68,PNJ68,PANAJI MKT - TAMDI SURLA via PONDA,3,,,ktcl-goa-in
PRV21,PRV21,PANAJI MKT - USTE via MAPUSA,3,,,ktcl-goa-in
PRV12,PRV12,PANAJI MKT - VALPOI,3,,,ktcl-goa-in
PRV225,PRV225,PANAJI MKT - VASCO,3,,,ktcl-goa-in
PRV121,PRV121,PANAJI MKT - VIJAYDURGA via MARDOL,3,,,ktcl-goa-in
PNJ71,PNJ71,PANAJI MKT - PONDA via KUNDAI,3,,,ktcl-goa-in
PNJ197IS,PNJ197IS,PANAJI - BANDA,3,,,ktcl-goa-in
PNJ197EIS,PNJ197EIS,PANAJI - BANDA,3,00b33c,,ktcl-goa-in
PRV127,PRV127,PANAJI - BAMBOLI W/S,3,,,ktcl-goa-in
PRV73,PRV73,MADEL - NARVA via SADETIR,3,,,ktcl-goa-in
PRV64,PRV64,MAPUSA - AMADI via ALDONA,3,,,ktcl-goa-in
PNJ58,PNJ58,MAPUSA - BADEM,3,,,ktcl-goa-in
PRV114,PRV114,MAPUSA - BASTODA via GREEN PARK,3,,,ktcl-goa-in
PRV93,PRV93,MAPUSA - BHUTWADI via PEDNE,3,,,ktcl-goa-in
PRV63,PRV63,MAPUSA - BICHOLIM via ALDONA,3,,,ktcl-goa-in
PRV20,PRV20,MAPUSA - BICHOLIM via ASSNODA,3,,,ktcl-goa-in
PRV66,PRV66,MAPUSA - CALVI TAR via ALDONA,3,,,ktcl-goa-in
PRV187,PRV187,MAPUSA - CHANDEL,3,,,ktcl-goa-in
PRV113,PRV113,MAPUSA - DIST. HSPTL via MPS COURT,3,,,ktcl-goa-in
PRV74,PRV74,MADEL - MADEL FERRY,3,,,ktcl-goa-in
PRV234,PRV234,MADEL - MADEL,3,,,ktcl-goa-in
MRG204,MRG204,DON BOSCO - MARGAO,3,,,ktcl-goa-in
MRG205,MRG205,FMD ENG CLG - KALAY,3,,,ktcl-goa-in
VSD21,VSD21,HARBOUR - AKHADA,3,,,ktcl-goa-in
VSD28,VSD28,HARBOUR - ASSOLDA via QUEPEM,3,,,ktcl-goa-in
VSD27,VSD27,HARBOUR - DEVSU,3,,,ktcl-goa-in
PRV183,PRV183,MAPUSA - DMC COLLAGE via KHORLIM,3,,,ktcl-goa-in
