trip_id,route_id,service_id,trip_headsign,direction_id
I2:11:45:PNJ:I6:170,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:12:30:PNJ:I6:171,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:13:15:PNJ:I4:172,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:13:30:PNJ:I6:173,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:14:00:PNJ:I4:174,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:14:30:PNJ:I5:175,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:14:45:PNJ:I4:176,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:15:15:PNJ:I5:177,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:15:30:PNJ:I4:178,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:16:00:PNJ:I5:179,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:16:15:PNJ:I4:180,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:16:30:PNJ:I6:181,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:16:45:PNJ:I5:182,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:17:00:PNJ:I4:183,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:17:15:PNJ:I6:184,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:17:30:PNJ:I5:185,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:17:45:PNJ:I4:186,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:18:00:PNJ:I6:187,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:18:15:PNJ:I5:188,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:18:30:PNJ:I4:189,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:18:45:PNJ:I6:190,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:19:00:PNJ:I5:191,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:19:15:PNJ:I4:192,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:19:30:PNJ:I6:193,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:19:45:PNJ:I5:194,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:20:00:PNJ:I4:195,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:20:15:PNJ:I6:196,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:20:30:PNJ:I5:197,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
I2:21:00:PNJ:I6:198,I2,FULLW,Neuro Rehab Centre-Caranzalem Football Ground-TB Hospital-Panaji Market (DB Marg),0
MRG1:08:15:MRG:104A104:199,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:09:00:MRG:121A121:200,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:09:05:MRG:97A97:201,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:09:25:MRG:111A111:202,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:09:30:MRG:101A101:203,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:10:20:MRG:114A:204,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:10:40:MRG:98A98:205,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:11:25:MRG:94A94:206,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:11:30:MRG:102A102:207,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:11:45:MRG:104A104:208,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:11:45:MRG:117A117:209,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:11:55:MRG:105A105:210,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:12:00:MRG:119A119:211,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:12:05:MRG:99A99:212,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:12:15:MRG:92A92:213,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:14:25:MRG:30A30:214,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:14:45:MRG:116A116:215,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:15:00:MRG:92A92:216,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:15:05:MRG:99A99:217,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:15:30:MRG:104A104:218,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:15:35:MRG:119A119:219,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:15:45:MRG:117A117:220,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
MRG1:16:15:MRG:88A88:221,MRG1,FULLW,MARGAO-CORTALIM-PANAJI,0
